"Timestamp","Año de nacimiento","Género","¿Cuántos hermanos tienes?","Orden de nacimiento","Durante la mayor parte de tu infancia, ¿cuál era la situación de tu familia?","¿A qué edad tuvo tu MADRE su primer hijo/a?","¿A qué edad tuvo tu PADRE su primer hijo/a?","¿Cuál es el nivel de estudios máximo obtenido por tu madre?","¿Cuál es el nivel de estudios máximo obtenido por tu padre?","¿Qué tipo de educación recibió tu madre?","¿Qué tipo de educación recibió tu padre?","¿Cuál era la profesion principal de tu madre?","¿Cuál era la profesion principal de tu padre?","¿Cuántas personas trabajaban en tu hogar a tiempo completo?","¿Cuántas personas trabajaban en tu hogar a tiempo parcial?","¿En qué categoría clasificarías la situación económica de tu familia durante tu infancia?","¿Cuál era la situación de tu familia en cuanto a vivienda?","Indica el código postal (o códigos postales) de tu casa durante tu infancia.","¿A qué edad empezaste a trabajar?","¿Has terminado de estudiar?","Si has terminado de estudiar, ¿cuál es tu grado máximo de estudios?","Si no has terminado de estudiar, ¿qué tipo de estudios estás cursando ahora mismo?","¿Has cursado otras modalidades de bachillerato?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio público?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio concertado religioso?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio concertado laico?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio privado religioso?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio privado laico?","Durante tu educación primaria y secundaria, ¿recibiste alguna de las siguientes?","¿Practicabas algún deporte de manera extraescolar?","¿Has hecho selectividad?","Si hiciste la selectividad en 2009 o antes, ¿cuál fue tu nota?","Si hiciste la selectividade en 2010 o en adelante, ¿cuál fue tu nota?","Si accediste a la universidad, ¿a qué titulación?","¿Accediste a la universidad el primer año que solicitaste?","Si no accediste a la primera, ¿cuántas veces solicitaste la entrada?","¿Fue tu primera opción?","Si no fue tu primera opción, ¿cuál fue?"
"2019/01/18 7:52:01 PM GMT+1","1994","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","32","29","Ciclo formativo de grado medio (FP)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Concertada laica","Pública","Secretaria","Operario","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08224","19","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","2","10","0","0","0","Clases de refuerzo","No","Sí","","9,5 - 10","Periodismo","Sí","","Sí",""
"2019/01/18 7:53:12 PM GMT+1","1991","Mujer","0","1","Padres divorciados o separados viviendo por separado sin pareja.","25","20","Ciclo formativo de grado medio (FP)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Pública","Pública","Cocinera","Peletero","Solo mi madre","Nadie ","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Alquiler","08290","18","No","","Ciclo formativo de grado superior (FP)","No","11","0","0","0","0","Clases de refuerzo;Logopedia o Psicopedagogía","No","No","","","","","","","No accedí a la universidad"
"2019/01/18 7:55:27 PM GMT+1","1997","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","28","30","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Ciclo formativo de grado superior (FP)","Pública","Pública","Monitora de comedor","Asesor de calidad","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08923","No","No","","Grado universitario","No","12","0","0","0","0","Logopedia o Psicopedagogía;Ninguna","Si","Sí","","7,5 - 8","Grado de criminología","Sí","","Sí",""
"2019/01/18 7:56:03 PM GMT+1","1977","Mujer","5","1","Padres conviviendo como pareja, casados o pareja de hecho.","21","26","No terminó la Educación Primaria o Educación General Básica (EGB)","No terminó la Educación Primaria o Educación General Básica (EGB)","Concertada religiosa","Pública","Cocinera ","Obra","2","0","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Propiedad","08901","17","Sí","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Ciclo formativo de grado medio (FP)","No","0","0","0","0","0","Clases de refuerzo","Si","No","","","","No","","No","No accedí a la universidad"
"2019/01/18 7:56:15 PM GMT+1","30 de junio de 1975","Mujer","3","yo,mi hermana,mi hermano y mi hermana","Padres conviviendo como pareja, casados o pareja de hecho.","28","25","No terminó la Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","costurera","carpintero","1","jubilados","Teníamos dificultades para cubrir nuestras necesidades básicas (vivienda, alimentación, etc.).","Propiedad","08830","20","No","Educación Primaria o Educación General Básica (EGB)","","No","0","0","0","0","0","Clases de refuerzo","Si","No","No lo recuerdo","No lo recuerdo","ninguna ","No","ninguna ","No","No accedí a la universidad"
"2019/01/18 7:56:41 PM GMT+1","1997","Mujer","0","1","Padres conviviendo como pareja, casados o pareja de hecho.","35","34","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Bachillerato o Curso de Orientación Universitaria (COU)","Concertada religiosa","Pública","Administrativa","Informático","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08629","NO","No","","Grado universitario","No","12","0","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","","11,5 - 12","Veterinaria","Sí","","Sí",""
"2019/01/18 7:57:51 PM GMT+1","1998","Mujer","4","5","Padres conviviendo como pareja, casados o pareja de hecho.","22","24","Máster universitario","Máster universitario","Pública","Pública","Música ","Piloto","1","1","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Alquiler","420140","16","Sí","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","","No","9","1","0","0","0","Ninguna","Si","No","","","No","No","No he ido ","No","No accedí a la universidad"
"2019/01/18 8:00:09 PM GMT+1","1985","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","19","20","Ciclo formativo de grado medio (FP)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Pública","Pública","secretaria","mecánico de hosteleria","2","0","Nos podíamos permitir todavía más lujos (múltiples vacaciones anuales, varios coches).","Propiedad","08922","15","Sí","Ciclo formativo de grado medio (FP)","","No","5","0","8","0","0","Ninguna","Si","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:01:01 PM GMT+1","1989","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","26","32","No terminó la Educación Primaria o Educación General Básica (EGB)","Ciclo formativo de grado medio (FP)","Pública","Pública","Limpiadora","Gerente parking","2","1","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Otras situaciones","08923","16","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","12","0","0","0","0","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","5 - 5,5","","Relaciones Laborales","Sí","","Sí",""
"2019/01/18 8:02:23 PM GMT+1","1975","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","21","25","No terminó la Educación Primaria o Educación General Básica (EGB)","No terminó la Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Ama de casa","Técnico electricista","1","1","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08290","21","Sí","Ciclo formativo de grado superior (FP)","","No","0","0","0","8","0","Ninguna","No","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:02:40 PM GMT+1","1965","Mujer","2","1","Padres conviviendo como pareja, casados o pareja de hecho.","29","29","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Ama de casa","Operario","1","1","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad de protección oficial","08830","23","Sí","Máster Universitario","","No","12","0","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","No","Sí","6,5 - 7","","Geografia y Historia","Sí","","Sí",""
"2019/01/18 8:03:09 PM GMT+1","1975","Mujer","2","3","Padres conviviendo como pareja, casados o pareja de hecho.","25","27","Educación Primaria o Educación General Básica (EGB)","No terminó la Educación Primaria o Educación General Básica (EGB)","Concertada religiosa","Concertada religiosa","Operario en imprenta ","Operario fabrica ","1","1","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Propiedad","08922","20","Sí","Ciclo formativo de grado superior (FP)","","No","2","0","0","0","0","Ninguna","Si","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:05:18 PM GMT+1","1958","Mujer","3","Primero","Padres conviviendo como pareja, casados o pareja de hecho.","25","29","Ciclo formativo de grado superior (FP)","Diplomatura o ingeniería técnica","Privada religiosa","Privada religiosa","Contable","Delineante","2","Ninguna","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Alquiler","08028","14","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","10","0","0","0","Ninguna","No","No","","","Ciencias del trabajo","Sí","","Sí",""
"2019/01/18 8:05:48 PM GMT+1","1962","Mujer","3","2","Padres conviviendo como pareja, casados o pareja de hecho.","30","32","No terminó la Educación Primaria o Educación General Básica (EGB)","No terminó la Educación Primaria o Educación General Básica (EGB)","Privada religiosa","Pública","Ama de casa","Encargado","Una","0","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Propiedad de protección oficial","08205","18","Sí","Ciclo formativo de grado superior (FP)","","No","12","0","0","0","0","Ninguna","Si","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:05:48 PM GMT+1","1984","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","24","25","Grado universitario, licenciatura o ingeniería superior","No terminó la Educación Primaria o Educación General Básica (EGB)","Concertada laica","Pública","Ejecutiva","Construcción","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08924","20","Sí","Máster Universitario","","No","0","6","6","0","0","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","6,5 - 7","","Magisterio","Sí","","Sí",""
"2019/01/18 8:06:03 PM GMT+1","1980","Hombre","5","6","Padres conviviendo como pareja, casados o pareja de hecho.","21","20","No terminó la Educación Primaria o Educación General Básica (EGB)","No terminó la Educación Primaria o Educación General Básica (EGB)","Privada religiosa","Privada religiosa","Limpieza","Taller de coches","6","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08915","17","Sí","Ciclo formativo de grado medio (FP)","","No","2","0","0","0","0","Clases de refuerzo","Si","No","","","","No","","","No accedí a la universidad"
"2019/01/18 8:06:39 PM GMT+1","1979","Mujer","4","5","Padres conviviendo como pareja, casados o pareja de hecho.","26","24","Educación Primaria o Educación General Básica (EGB)","No terminó la Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Ama de casa","Mecánico soldador","1","1","Teníamos dificultades para cubrir nuestras necesidades básicas (vivienda, alimentación, etc.).","Propiedad","08923","19","Sí","Diplomatura o ingeniería técnica","","No","12","0","0","0","0","Ninguna","Si","Sí","7,5 - 8","","Biología","Sí","","Sí",""
"2019/01/18 8:06:44 PM GMT+1","1983","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","27","30","No terminó la Educación Primaria o Educación General Básica (EGB)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Pública","Concertada religiosa","Ama de casa ","Comercial","1","1","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08950","17","No","Ciclo formativo de grado superior (FP)","Grado universitario","No","12","0","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","5 - 5,5","","Economía ","Sí","","No","Segunda"
"2019/01/18 8:07:40 PM GMT+1","1986","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","30","32","Doctorado","Diplomatura o ingeniería técnica","Pública","Pública","Quimica","Arquitecto tècnico","2","0","Teníamos dificultades para cubrir nuestras necesidades básicas (vivienda, alimentación, etc.).","Propiedad","43001","16","Sí","Doctorado","","No","12","0","0","0","0","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","6,5 - 7","","EnfermeriA","Sí","","Sí",""
"2019/01/18 8:08:23 PM GMT+1","1991","Mujer","3","1","Padres conviviendo como pareja, casados o pareja de hecho.","29","33","Educación Primaria o Educación General Básica (EGB)","No lo sé","Pública","Concertada laica","Empleado limpieza","Empleado en la obra","1","1","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08949","16","Sí","Ciclo formativo de grado medio (FP)","","No","1","0","0","0","0","Ninguna","Si","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:09:44 PM GMT+1","1978","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","22","23","Educación Primaria o Educación General Básica (EGB)","Ciclo formativo de grado medio (FP)","Privada religiosa","Pública","Administrativa","Contable","1","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08940","27","Sí","Diplomatura o ingeniería técnica","","No","0","0","0","12","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","7 - 7,5","","CIENCIAS EMPRESARIALES","Sí","","Sí",""
"2019/01/18 8:10:35 PM GMT+1","1975","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","22","26","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Administrativa","Soldador","4","0","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Propiedad"," 08980","16","Sí","Diplomatura o ingeniería técnica","Grado universitario","No","4","0","0","0","0","Ninguna","Si","Sí","7,5 - 8","7,5 - 8","Enfermeria","Sí","0","Sí",""
"2019/01/18 8:12:17 PM GMT+1","1992","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","27","31","Ciclo formativo de grado medio (FP)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Cuidadora","Parquerista ","1","1","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","0000","22","Sí","Ciclo formativo de grado superior (FP)","","No","6","0","0","0","0","Clases de refuerzo","Si","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:13:22 PM GMT+1","1989","Mujer","1","Pequeña ","Padres conviviendo como pareja, casados o pareja de hecho.","26","27","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Cocinera ","Mozo de almacen","2","1","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08380","16","Sí","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","","No","0","0","12","0","0","Ninguna","Si","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:13:26 PM GMT+1","1970","Mujer","3","3","Padres conviviendo como pareja, casados o pareja de hecho.","23","27","No terminó la Educación Primaria o Educación General Básica (EGB)","No terminó la Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Ama de casa","Camionero","1","Ninguna","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Propiedad","08830","17","Sí","Ciclo formativo de grado medio (FP)","","No","10","0","10","0","0","Ninguna","No","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:13:48 PM GMT+1","1988","Hombre","1","Segundo","Padres conviviendo como pareja, casados o pareja de hecho.","29","35","No terminó la Educación Primaria o Educación General Básica (EGB)","No terminó la Educación Primaria o Educación General Básica (EGB)","Concertada religiosa","Pública","Ama de casa","Camionero","1","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08924","18","Sí","Diplomatura o ingeniería técnica","","No","0","10","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","","","Ingeniería técnica","Sí","","Sí",""
"2019/01/18 8:13:49 PM GMT+1","1998","Mujer","2","1979,1985,1998","Padres conviviendo como pareja, casados o pareja de hecho.","24","26","No lo sé","Bachillerato o Curso de Orientación Universitaria (COU)","Pública","Pública","ama de casa","camionero","3","0","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Propiedad","08830,08629","18","No","","Ciclo formativo de grado superior (FP)","No","9","2","1","0","0","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:14:25 PM GMT+1","1968","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","19","28","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","cocinera","comercial","1","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08130","14","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","1","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","6 - 6,5","","psicologia","Sí","","Sí",""
"2019/01/18 8:14:57 PM GMT+1","1997","Hombre","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","24","28","No terminó la Educación Primaria o Educación General Básica (EGB)","Ciclo formativo de grado medio (FP)","Pública","Pública","Ama de casa","Fábrica ","1","0","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Propiedad","08849","19","No","","Grado universitario","No","12","0","0","0","0","Ninguna","Si","No","","","Ingeniería ","Sí","","Sí",""
"2019/01/18 8:15:26 PM GMT+1","75","Mujer","1","1","Padres divorciados o separados viviendo por separado sin pareja.","22","23","No terminó la Educación Primaria o Educación General Básica (EGB)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Concertada religiosa","Pública","Seguridad","Matricero","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08950","18","No","Grado universitario,  licenciatura o ingeniería técnica","","No","4","0","0","0","0","Ninguna","No","Sí","7,5 - 8","","Derecho","Sí","","Sí",""
"2019/01/18 8:16:13 PM GMT+1","1993","Mujer","0","1","Padres conviviendo como pareja, casados o pareja de hecho.","27","29","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","auxiliar de jardín de infancia","conductor de autobuses","2","0","Nos podíamos permitir todavía más lujos (múltiples vacaciones anuales, varios coches).","Propiedad","08950","20","No","Ciclo formativo de grado superior (FP)","Grado universitario","No","12","0","0","0","0","Clases de refuerzo","Si","Sí","","<5","Trabajo Social","Sí","","Sí",""
"2019/01/18 8:16:17 PM GMT+1","1982","Hombre","0","1","Padres conviviendo como pareja, casados o pareja de hecho.","23","23","Educación Primaria o Educación General Básica (EGB)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Pública","Pública","Agricultora","Agricultor","2","0","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Otras situaciones","08849","18","No","","Doctorado","No","0","4","8","0","0","Clases de refuerzo","No","Sí","7 - 7,5","","","Sí","","No","Segunda"
"2019/01/18 8:16:24 PM GMT+1","1956","Hombre","0","1","Padres conviviendo como pareja, casados o pareja de hecho.","23","24","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Pública","Pública","Labores de casa","Empresario","30","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08012","24","Sí","Máster Universitario","","No","0","0","0","7","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","No","","","","Sí","","Sí",""
"2019/01/18 8:17:11 PM GMT+1","1985","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","33","36","Diplomatura o ingeniería técnica","Grado universitario, licenciatura o ingeniería superior","Pública","Concertada religiosa","Infernera ","Ingeniero ","1","0","El dinero no era un factor limitante (casas de veraneo, varios coches, etc.).","Propiedad","08629","25","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","0","0","12","0","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","No","","","Psicología ","Sí","","Sí",""
"2019/01/18 8:17:35 PM GMT+1","1991","Mujer","2","1","Padres conviviendo como pareja, casados o pareja de hecho.","28","29","Educación Primaria o Educación General Básica (EGB)","Bachillerato o Curso de Orientación Universitaria (COU)","Concertada religiosa","Concertada religiosa","Administrativa","Informatico","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08830","16","Sí","Máster Universitario","","No","12","0","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","7,5 - 8","","Grado diseño","Sí","","Sí",""
"2019/01/18 8:19:44 PM GMT+1","1972","Mujer","0","1","Otras situaciones (huérfano/a, bajo tutela de un familiar, servicios sociales, etc).","21","25","Educación Primaria o Educación General Básica (EGB)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Pública","Pública","Administrativa","Director comercial","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08950","20","Sí","Máster Universitario","","No","0","0","10","0","2","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","7 - 7,5","","Derecho","Sí","","No","Segunda"
"2019/01/18 8:21:18 PM GMT+1","1992","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","26","26","Ciclo formativo de grado medio (FP)","Ciclo formativo de grado superior (FP)","Pública","Concertada religiosa","Peluquera","Mecánico mantenimiento ","1","1","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08849","18","Sí","Ciclo formativo de grado medio (FP)","","No","7","4","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.);Logopedia o Psicopedagogía","Si","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:23:52 PM GMT+1","1989","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","21","23","Ciclo formativo de grado medio (FP)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Pública","Pública","Auxiliar de enfermería","Mecánico","2","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08830","17","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","12","0","0","0","0","Ninguna","No","Sí","8,5 - 9","","Grado de psicología","Sí","","Sí",""
"2019/01/18 8:24:04 PM GMT+1","1985","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","29","28","Bachillerato o Curso de Orientación Universitaria (COU)","Bachillerato o Curso de Orientación Universitaria (COU)","No lo sé","No lo sé","Ama de casa","Funcionario telecomunicaciones","1","1","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08290","18","Sí","Máster Universitario","","No","2","10","0","0","0","Ninguna","No","Sí","6 - 6,5","","Economia","Sí","","Sí",""
"2019/01/18 8:24:36 PM GMT+1","1994","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","35","37","Educación Primaria o Educación General Básica (EGB)","Grado universitario, licenciatura o ingeniería superior","Concertada religiosa","Concertada religiosa","Operaria","Arquitecto","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08290","18","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","2","10","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","No","No lo recuerdo","","Educación social","No","2","No","Segunda"
"2019/01/18 8:27:09 PM GMT+1","1987","Mujer","3","3","Padres conviviendo como pareja, casados o pareja de hecho.","24","29","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","No lo sé","No lo sé","Ama d casa","Camionero","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08620","18","No","","Ciclo formativo de grado superior (FP)","No","0","4","0","0","0","Ninguna","Si","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:27:19 PM GMT+1","1980","Hombre","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","26","26","No terminó la Educación Primaria o Educación General Básica (EGB)","No terminó la Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Ama de casa","Jubilado","1","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08923","18","No","","Doctorado","No","10","0","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","8,5 - 9","","Historia","Sí","","Sí",""
"2019/01/18 8:28:51 PM GMT+1","1991","Mujer","0","1","Padres conviviendo como pareja, casados o pareja de hecho.","37","37","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Educación Primaria o Educación General Básica (EGB)","Concertada religiosa","No lo sé","En fabricas y ama de casa","Almacen","Los dos","Mi madre por motivos familiares","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08291","18","Sí","Ciclo formativo de grado superior (FP)","","No","1","0","10","0","0","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:30:35 PM GMT+1","1973","Hombre","31","Primero ","Padres conviviendo como pareja, casados o pareja de hecho.","20","21","No terminó la Educación Primaria o Educación General Básica (EGB)","Bachillerato o Curso de Orientación Universitaria (COU)","Pública","Pública","Limpiadora","Vigilante","2","0","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Alquiler","No lo se","15","No","","Ciclo formativo de grado medio (FP)","No","2","0","0","0","0","Ninguna","No","No","","","","","","","No accedí a la universidad"
"2019/01/18 8:31:54 PM GMT+1","2000","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","26","28","Ciclo formativo de grado superior (FP)","Ciclo formativo de grado superior (FP)","Pública","Pública","Auxiliar de farmacia","Trabajador en una fábrica ","3","1","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Otras situaciones","08921","NO","No","","Grado universitario","No","12","0","0","0","0","Ninguna","No","Sí","","6,5 - 7","Filologia catalana","Sí","","Sí",""
"2019/01/18 8:32:57 PM GMT+1","1972","Mujer","0","1","Padres conviviendo como pareja, casados o pareja de hecho.","27","30","Ciclo formativo de grado medio (FP)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Peluquera","Obrero","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08980","23","Sí","Máster Universitario","","No","6","0","0","0","0","Ninguna","Si","Sí","8,5 - 9","","Odontologia","Sí","","Sí",""
"2019/01/18 8:37:21 PM GMT+1","1964","Mujer","4","4","Otras situaciones (huérfano/a, bajo tutela de un familiar, servicios sociales, etc).","21","25","No terminó la Educación Primaria o Educación General Básica (EGB)","No terminó la Educación Primaria o Educación General Básica (EGB)","No lo sé","No lo sé","Empleada de hogar","Marinero","2","1","Teníamos dificultades para cubrir nuestras necesidades básicas (vivienda, alimentación, etc.).","Otras situaciones","08921","14","Sí","Ciclo formativo de grado medio (FP)","","No","2","0","0","0","0","Ninguna","Si","No","","","","","","","No accedí a la universidad"
